epoch,train_loss,val_aee,best_val_aee,is_best,stale_epochs,early_stopped
1,1.6380385572810165,2.6380313799977304,2.6380313799977304,True,0,False
2,1.630372034032249,2.6570338659882546,2.6380313799977304,False,1,False
3,1.6291762314647429,2.637818434983492,2.6380313799977304,False,2,False
4,1.628879019396141,2.6556614225506783,2.6380313799977304,False,3,False
5,1.6284725170654613,2.6591398413181304,2.6380313799977304,False,4,False
6,1.6282933948161467,2.6585522813797,2.6380313799977304,False,5,False
7,1.6296471781680142,2.744018847465515,2.6380313799977304,False,6,False
8,1.6285257459803595,2.6534074427783487,2.6380313799977304,False,7,False
9,1.6265710991896924,2.6582931807935237,2.6380313799977304,False,8,False
10,1.6250655688391051,2.661457438349724,2.6380313799977304,False,9,False
11,1.625179767196242,2.6587444355785848,2.6380313799977304,False,10,True
