epoch,train_loss,val_aee,best_val_aee,is_best,stale_epochs,early_stopped
1,1.623403384321728,2.6563232800364496,2.6563232800364496,True,0,False
2,1.5872838432929577,2.671636941194534,2.6563232800364496,False,1,False
3,1.5756693505318236,2.6728817571401597,2.6563232800364496,False,2,False
4,1.5649761128463553,2.6609961515069007,2.6563232800364496,False,3,False
5,1.5590724557557878,2.6372522788643837,2.6372522788643837,True,0,False
6,1.5562376702515015,2.620224934875965,2.620224934875965,True,0,False
7,1.5545981312145534,2.6201541873812677,2.620224934875965,False,1,False
8,1.553528289511132,2.6100246492624284,2.6100246492624284,True,0,False
9,1.551716829832354,2.6454622638821603,2.6100246492624284,False,1,False
10,1.550443200826528,2.693857243895531,2.6100246492624284,False,2,False
11,1.550071864334824,2.6151914252638817,2.6100246492624284,False,3,False
12,1.551098791869166,2.607129846274853,2.607129846274853,True,0,False
13,1.5483023786322907,2.6259612257480622,2.607129846274853,False,1,False
14,1.5473282937614643,2.695135720610619,2.607129846274853,False,2,False
15,1.5469016669691704,2.6278665738105773,2.607129846274853,False,3,False
16,1.546746494436918,2.620592068731785,2.607129846274853,False,4,False
17,1.5459162622230356,2.696204573392868,2.607129846274853,False,5,False
18,1.5453601920689375,2.654040021300316,2.607129846274853,False,6,False
19,1.5453926314698578,2.647314425647259,2.607129846274853,False,7,False
20,1.5446910186269953,2.6939171380996703,2.607129846274853,False,8,False
21,1.544326819050642,2.650166065812111,2.607129846274853,False,9,False
22,1.5439884751604493,2.673787017226219,2.607129846274853,False,10,True
