method,sequence,windows,aee,outlier_percent,valid_count,outlier_count
event_frame,indoor_flying1,945,1.5703721650063045,10.517089461670926,3584763,568618
event_frame,indoor_flying2,710,2.402409156653243,26.53019292398312,3811246,1789895
event_frame,indoor_flying3,934,1.7448298045667388,15.739899033530104,3672997,1038468
binary_event_image,indoor_flying1,945,1.4074918806868255,8.283478507980895,3584763,409438
binary_event_image,indoor_flying2,710,2.235695703233212,25.51197521609772,3811246,1718067
binary_event_image,indoor_flying3,934,1.5867122892106882,12.903861429848565,3672997,855839
timestamp_image,indoor_flying1,945,1.6049429379127644,9.686441352151713,3584763,504276
timestamp_image,indoor_flying2,710,2.264557764458824,24.70615152163895,3811246,1631941
timestamp_image,indoor_flying3,934,1.719357274408897,13.70298341974034,3672997,901054
time_surface,indoor_flying1,945,1.4415304180806277,8.505677028457846,3584763,419129
time_surface,indoor_flying2,710,2.256157413639233,25.6818808107535,3811246,1715945
time_surface,indoor_flying3,934,1.6035088099204242,13.91480924771761,3672997,906995
voxel_grid,indoor_flying1,945,1.2859103689118037,6.650077805526251,3584763,346630
voxel_grid,indoor_flying2,710,2.041519840376478,20.96934281813829,3811246,1427480
voxel_grid,indoor_flying3,934,1.4369553780179207,7.582793757653486,3672997,536857
