epoch,train_loss,val_aee,best_val_aee,is_best,stale_epochs,early_stopped
1,3.143012365142068,1.4917256343364715,1.4917256343364715,True,0,False
2,2.7405118955360663,1.229385223388672,1.229385223388672,True,0,False
3,2.6808026688439504,1.303044366836548,1.229385223388672,False,1,False
4,2.601118806954269,1.3298577558994293,1.229385223388672,False,2,False
5,2.6107646855679185,1.1220850765705108,1.1220850765705108,True,0,False
6,2.4517777529391616,1.0003338199853897,1.0003338199853897,True,0,False
7,2.4594471611819424,0.9985268533229827,0.9985268533229827,True,0,False
8,2.473808766721369,1.072431848049164,0.9985268533229827,False,1,False
9,2.3635389464242116,0.9931503075361252,0.9931503075361252,True,0,False
10,2.341651623065655,1.1288163471221924,0.9931503075361252,False,1,False
11,2.3855864320482527,0.9419425266981125,0.9419425266981125,True,0,False
12,2.398249488610488,0.8729043871164321,0.8729043871164321,True,0,False
13,2.3472131608606697,0.8920548897981644,0.8729043871164321,False,1,False
14,2.346573452373127,0.9224385738372802,0.8729043871164321,False,2,False
15,2.2965538881637237,0.8792937988042832,0.8729043871164321,False,3,False
16,2.3172121991168013,1.0029675805568694,0.8729043871164321,False,4,False
17,2.318039691055214,0.9828379565477371,0.8729043871164321,False,5,False
18,2.2582524556380053,1.0301449531316758,0.8729043871164321,False,6,False
19,2.2524534254283695,0.9483486598730088,0.8729043871164321,False,7,False
20,2.276757292695098,0.911247335076332,0.8729043871164321,False,8,False
21,2.212183721772917,0.9795252376794815,0.8729043871164321,False,9,False
22,2.246029638982081,0.7701319086551667,0.7701319086551667,True,0,False
23,2.2581839875860528,1.0058318996429443,0.7701319086551667,False,1,False
24,2.2435113139204925,0.7855895096063614,0.7701319086551667,False,2,False
25,2.1959717247512316,0.7122648718953133,0.7122648718953133,True,0,False
26,2.2140954510196225,0.7193949684500694,0.7122648718953133,False,1,False
27,2.189839547807044,0.7232093730568886,0.7122648718953133,False,2,False
28,2.219033419430911,0.946728367805481,0.7122648718953133,False,3,False
29,2.1918837749041042,0.858263093829155,0.7122648718953133,False,4,False
30,2.154704219692356,0.7825757485628128,0.7122648718953133,False,5,False
31,2.14606729051569,0.7908810117840767,0.7122648718953133,False,6,False
32,2.1492427181411577,0.7000529563426972,0.7000529563426972,True,0,False
33,2.185795473528432,0.7254116788506508,0.7000529563426972,False,1,False
34,2.198076904475034,0.7919840198755265,0.7000529563426972,False,2,False
35,2.1505198583498104,0.7350939273834228,0.7000529563426972,False,3,False
36,2.1389089626270334,0.7060734993219375,0.7000529563426972,False,4,False
37,2.16206426017887,0.728209437429905,0.7000529563426972,False,5,False
38,2.141781230549236,0.7384919425845147,0.7000529563426972,False,6,False
39,2.122133399104024,0.8188354766368866,0.7000529563426972,False,7,False
40,2.1185503844376448,0.7291377350687981,0.7000529563426972,False,8,False
41,2.141752941267831,0.7223707708716393,0.7000529563426972,False,9,False
42,2.115532715241988,0.7014104387164116,0.7000529563426972,False,10,True
