method,sequence,windows,aee,outlier_percent,valid_count,outlier_count
ergo,indoor_flying1,945,1.1434751073361704,4.462010778610416,3584763,220847
ergo,indoor_flying2,710,1.758756866883224,14.978080919879647,3811246,1037645
ergo,indoor_flying3,934,1.2380134396621962,5.501741767895539,3672997,395482
est,indoor_flying1,945,1.2093516761821415,5.242192867539125,3584763,266728
est,indoor_flying2,710,1.7824921309528217,15.891240522415396,3811246,1103626
est,indoor_flying3,934,1.2728992890430977,5.918824546318638,3672997,429896
event_pretraining,indoor_flying1,945,1.5064364944973951,8.953051623803319,3584763,478941
event_pretraining,indoor_flying2,710,2.2993807415937035,26.239636021844316,3811246,1765431
event_pretraining,indoor_flying3,934,1.6740517371535557,14.32852380844341,3672997,963605
evrepsl,indoor_flying1,945,1.4340540451662882,8.21345368380135,3584763,416446
evrepsl,indoor_flying2,710,2.344799108026733,28.28336480445445,3811246,1877143
evrepsl,indoor_flying3,934,1.6473144982050012,12.159591232361329,3672997,816948
get,indoor_flying1,945,1.210595580257436,5.1047931073579065,3584763,253823
get,indoor_flying2,710,1.819017973132956,16.15925905851932,3811246,1115951
get,indoor_flying3,934,1.2839192383836884,6.145643567281917,3672997,445081
matrixlstm,indoor_flying1,945,1.2999741044624773,5.851368534303785,3584763,289145
matrixlstm,indoor_flying2,710,1.900054425672746,17.520395502333727,3811246,1193120
matrixlstm,indoor_flying3,934,1.3543911808244167,6.547043622979033,3672997,463275
